...1,gen,pA,pB,pD,tJ,tF,tG,tH,error,min_error
113,113,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.30967524698116394,0.8958273137784272,68.49281,64.12936
114,114,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3623480275965196,0.8958273137784272,69.16042,64.12936
115,115,12.868108143782884,15.643070079965316,16.115744111941382,0.4449338140522175,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.77605,64.12936
116,116,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.933543274558989,66.69894,64.12936
117,117,12.868108143782884,15.643070079965316,16.115744111941382,0.4904492049100398,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.13654,64.12936
118,118,12.868108143782884,15.643070079965316,16.115744111941382,0.4131622510877255,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.3102,64.12936
119,119,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4324704713471831,0.35174578637548914,0.8958273137784272,69.62591,64.12936
120,120,12.868108143782884,15.643070079965316,16.115744111941382,0.4302592614534797,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.52972,64.12936
121,121,12.868108143782884,15.643070079965316,16.115744111941382,0.501318608703001,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.46081,64.12936
122,122,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.9629863955786772,66.67083,64.12936
123,123,12.868108143782884,15.643070079965316,16.51797430261324,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.87682,64.12936
124,124,12.868108143782884,15.643070079965316,16.115744111941382,0.4968428569912669,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.64512,64.12936
125,125,12.868108143782884,16.179436664181747,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,70.01605,64.12936
126,126,12.868108143782884,15.528666738072388,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.07321,64.12936
127,127,12.868108143782884,15.643070079965316,16.115744111941382,0.3937884917947045,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.04092,64.12936
128,128,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.42352571127213673,0.35174578637548914,0.8958273137784272,67.53302,64.12936
129,129,12.868108143782884,17.263297597180248,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,72.81868,64.12936
130,130,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3048659684560677,0.8958273137784272,69.42399,64.12936
131,131,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8623569473695405,70.80745,64.12936
132,132,12.868108143782884,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.30208688191674826,0.8958273137784272,69.32296,64.12936
133,133,12.868108143782884,15.643070079965316,16.869984269961773,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.55265,64.12936
134,134,12.868108143782884,15.643070079965316,16.589606035018093,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.61196,64.12936
135,135,12.868108143782884,15.43959876863642,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.44685,64.12936
