,gen,pA,pB,pD,error
181,181.0,321790.94826468924,724830289368020.0,2589717645.2664638,14.97039
182,182.0,321790.94826468924,724830289368020.0,2589719495.7483416,14.97039
183,183.0,321790.94826468924,724830289368020.0,2589709025.9171147,14.97039
184,184.0,312019.9627724467,724830289368020.0,2589768900.05883,14.97039
185,185.0,313089.7961236082,724830289368020.0,2589768900.05883,14.97039
186,186.0,317749.46533745195,724830289368020.0,2589768900.05883,14.97039
187,187.0,315013.7641920033,724830289368020.0,2589768900.05883,14.97039
188,188.0,314882.6712596828,724830289368020.0,2589768900.05883,14.97039
189,189.0,336909.1370544895,724830289392806.0,2589768900.05883,22.42897
190,190.0,336909.1370544895,724830289432232.9,2589768900.05883,22.42897
191,191.0,336909.1370544895,724830289429480.0,2589768900.05883,22.42897
192,192.0,336909.1370544895,724830289463206.0,2589768900.05883,22.42897
193,193.0,336909.1370544895,724830289470424.2,2589768900.05883,22.42897
194,194.0,336909.1370544895,724830289633179.0,2589796225.4661617,22.42897
195,195.0,336909.1370544895,724830289633179.0,2589790752.156223,22.42897
196,196.0,336909.1370544895,724830289633179.0,2589796167.043458,22.42897
197,197.0,336909.1370544895,724830289633179.0,2589810732.461273,22.42897
198,198.0,336909.1370544895,724830289633179.0,2589803255.4481688,22.42897
199,199.0,336909.1370544895,724830289633179.0,2589815504.6388006,22.42897
200,200.0,336909.1370544895,724830289633179.0,2589830122.6254697,22.42897
201,201.0,336909.1370544895,724830289633179.0,2589845062.57761,22.42897
202,202.0,336909.1370544895,724830289633179.0,2589836233.636628,22.42897
203,203.0,336909.1370544895,724830289633179.0,2589841936.4903345,22.42897
204,204.0,336909.1370544895,724830289633179.0,2589840451.503999,22.42897
205,205.0,336909.1370544895,724830289633179.0,2589840751.2664385,22.42897
206,206.0,336909.1370544895,724830289633179.0,2589866357.1381407,22.42897
207,207.0,336909.1370544895,724830289633179.0,2589879917.4939814,22.42897
208,208.0,336909.1370544895,724830289633179.0,2589878347.714289,22.42897
209,209.0,336909.1370544895,724830289633179.0,2589889022.286918,22.42897
210,210.0,336909.1370544895,724830289633179.0,2589876541.681035,22.42897
211,211.0,336909.1370544895,724830289633179.0,2589887160.490621,22.42897
212,212.0,336909.1370544895,724830289633179.0,2589906448.369436,22.42897
213,213.0,336909.1370544895,724830289633179.0,2589895981.3467255,22.42897
214,214.0,336909.1370544895,724830289635361.9,2589955855.4884405,22.42897
215,215.0,336909.1370544895,724830289672480.2,2589955855.4884405,22.42897
216,216.0,336909.1370544895,724830289728131.6,2589955855.4884405,22.42897
217,217.0,336909.1370544895,724830289731820.4,2589955855.4884405,22.42897
218,218.0,336909.1370544895,724830289781577.4,2589955855.4884405,22.42897
219,219.0,336909.1370544895,724830289762377.4,2589955855.4884405,22.42897
220,220.0,336909.1370544895,724830289759567.0,2589955855.4884405,22.42897
221,221.0,336909.1370544895,724830289712286.8,2589955855.4884405,22.42897
222,222.0,336909.1370544895,724830289663836.1,2589955855.4884405,22.42897
223,223.0,336909.1370544895,724830289656266.1,2589955855.4884405,22.42897
224,224.0,336909.1370544895,724830289679622.0,2589955855.4884405,22.42897
225,225.0,336909.1370544895,724830289586339.2,2589955855.4884405,22.42897
226,226.0,336909.1370544895,724830289563141.0,2589955855.4884405,22.42897
227,227.0,336909.1370544895,724830289556842.2,2589955855.4884405,22.42897
228,228.0,336909.1370544895,724830289542130.0,2589955855.4884405,22.42897
229,229.0,358935.60284929624,724830289704884.8,2589955855.4884405,16.92415
230,230.0,358935.60284929624,724830289690394.8,2589955855.4884405,16.92415
231,231.0,358935.60284929624,724830289740172.8,2589955855.4884405,16.92415
232,232.0,358935.60284929624,724830289783286.9,2589955855.4884405,16.92415
233,233.0,358935.60284929624,724830289744618.9,2589955855.4884405,16.92415
234,234.0,358935.60284929624,724830289728036.0,2589955855.4884405,16.92415
235,235.0,358935.60284929624,724830289709192.6,2589955855.4884405,16.92415
236,236.0,358935.60284929624,724830289625667.9,2589955855.4884405,16.92415
237,237.0,358935.60284929624,724830289573139.6,2589955855.4884405,16.92415
238,238.0,358935.60284929624,724830289640705.0,2589955855.4884405,16.92415
239,239.0,358935.60284929624,724830289667000.1,2589955855.4884405,16.92415
240,240.0,358935.60284929624,724830289829754.9,2589936323.9695177,16.92415
241,241.0,358935.60284929624,724830289829754.9,2589959714.4476223,16.92415
242,242.0,358935.60284929624,724830289829754.9,2589985266.727861,16.92415
243,243.0,358935.60284929624,724830289829754.9,2589983897.0477514,16.92415
244,244.0,358935.60284929624,724830289829754.9,2589979985.234513,16.92415
245,245.0,380962.06864410295,724830289829754.9,2590039859.376228,14.19505
246,246.0,380962.06864410295,724830289829754.9,2590044685.231777,14.19505
